percentile,year,wealth_family
23,2010,7140.424
23,2013,7094
23,2016,7651
24,1963,3839.4808936429004
24,1983,10479.69
24,1989,8415.029
24,1992,11068.65
24,1995,13483.3
24,1998,12762.71
24,2001,15553.69
24,2004,14879.85
24,2007,14567.83
24,2010,8124.167
24,2013,8259.148
24,2016,8971
25,1963,4436.3239180806395
25,1983,11626.66
25,1989,10542.11
25,1992,12326.45
25,1995,15660.04
25,1998,14636.54
25,2001,17369.19
25,2004,16851.11
25,2007,16385.91
25,2010,9196.335
25,2013,9073.721
25,2016,10275
26,1963,5063.931014484788
26,1983,12988.53
26,1989,12165.41
26,1992,13969.98
26,1995,17226.05
26,1998,16377.58
26,2001,20051.79
26,2004,18440.84
26,2007,18806.16
26,2010,10395.62
26,2013,9898.604
26,2016,11451
27,1963,5913.046862226654
27,1983,14461.48
27,1989,14311.15
27,1992,15430.71
27,1995,18745.07
27,1998,18694.05
27,2001,22490.53
27,2004,20691.89
27,2007,21573.82
27,2010,11583.85
27,2013,10929.71
27,2016,13041
28,1963,6663.715408426698
28,1983,15961
28,1989,15393.35
28,1992,17693.07
28,1995,21250.68
28,1998,21025.27
28,2001,24942.81
28,2004,23273.61
28,2007,23970.91
28,2010,13042.88
28,2013,12373.26
28,2016,14920
29,1963,7882.011476012042
29,1983,18436.04
29,1989,17632.38
29,1992,19252.75
29,1995,23537.05
29,1998,23164.68
29,2001,28451.87
29,2004,26389.48
29,2007,27444.96
29,2010,14590.34
29,2013,13775.56
29,2016,16900
30,1963,9229.522014263774
30,1983,21456.79
30,1989,19404.95
30,1992,21634.18
30,1995,25541.53
30,1998,26440.2
30,2001,31297.06
30,2004,29759.7
30,2007,30745.3
30,2010,16248.33
30,2013,15260.35
30,2016,18900
31,1963,10453.972135105661
31,1983,23622.76
31,1989,20934.95
31,1992,23730.52
31,1995,28031.48
31,1998,29317.34
31,2001,34223.54
31,2004,33575.04
31,2007,34254.09
31,2010,17906.33
31,2013,16910.12
31,2016,21001
32,1963,11512.291724830313
32,1983,25491.72
32,1989,23883.01
32,1992,26162.27
32,1995,29879.36
32,1998,32164.97
32,2001,37461.63
32,2004,36398.4
32,2007,37959.73
32,2010,20006.45
32,2013,18767.14
32,2016,23100
33,1963,12416.785792792662
33,1983,27445.19
33,1989,27484.12
33,1992,28174.75
33,1995,32588.55
33,1998,35410.98
33,2001,40781.02
33,2004,40525.33
33,2007,42037.1
33,2010,22438.17
33,2013,20622.09
33,2016,26100
34,1963,13542.788612092727
34,1983,29999.91
34,1989,29667.18
34,1992,30809.43
34,1995,35376.04
34,1998,38317.63
34,2001,44032.66
34,2004,44003.66
34,2007,46320.6
34,2010,25975.23
34,2013,22684.3
34,2016,28500
35,1963,15468.684144556773
35,1983,33083.45
35,1989,32279.38
35,1992,33507.83
35,1995,37740.71
35,1998,40427.54
35,2001,46593.33
35,2004,47946.18
35,2007,50593.68
35,2010,28330.68
35,2013,25055.84
35,2016,31105
36,1963,16711.584036535667
36,1983,35684.05
36,1989,35455.07
36,1992,35553.85
36,1995,40606.5
36,1998,43526
36,2001,49858.52
36,2004,50731.38
36,2007,55966.87
36,2010,31512.92
36,2013,27839.83
36,2016,34220
37,1963,18034.483523691484
37,1983,38564.76
37,1989,38436.72
37,1992,37901.75
37,1995,42751.92
37,1998,46727.74
